date,i_m1sum,i_power,i_temp1,i_temp2,i_temp3
2022-01-01 00:00:00,0.0,0,558.0,558.0,298.0
2022-01-01 00:15:00,0.0,4,557.0,557.0,298.0
2022-01-01 00:30:00,0.0,0,556.0,555.0,293.0
2022-01-01 00:45:00,0.0,0,555.0,552.0,284.0
2022-01-01 01:00:00,0.0,0,554.0,550.0,284.0
2022-01-01 01:15:00,0.0,0,553.0,549.0,285.0
2022-01-01 01:30:00,0.0,0,552.0,548.0,285.0
2022-01-01 01:45:00,0.0,0,551.0,546.0,285.0
2022-01-01 02:00:00,0.0,0,550.0,545.0,286.0
2022-01-01 02:15:00,0.0,0,550.0,544.0,286.0
2022-01-01 02:30:00,0.0,0,548.0,543.0,286.0
2022-01-01 02:45:00,0.0,0,547.0,541.0,287.0
2022-01-01 03:00:00,0.0,0,546.0,540.0,288.0
2022-01-01 03:15:00,0.0,0,545.0,539.0,288.0
2022-01-01 03:30:00,0.0,0,545.0,538.0,288.0
2022-01-01 03:45:00,0.0,0,544.0,535.0,284.0
2022-01-01 04:00:00,0.0,0,542.0,531.0,276.0
2022-01-01 04:15:00,0.0,0,541.0,529.0,273.0
2022-01-01 04:30:00,0.0,0,541.0,527.0,273.0
2022-01-01 04:45:00,0.0,0,540.0,526.0,273.0
2022-01-01 05:00:00,0.0,0,539.0,525.0,274.0
2022-01-01 05:15:00,0.0,0,538.0,524.0,275.0
2022-01-01 05:30:00,0.0,0,537.0,522.0,275.0
2022-01-01 05:45:00,0.0,0,536.0,521.0,276.0
2022-01-01 06:00:00,0.0,0,536.0,520.0,276.0
2022-01-01 06:15:00,0.0,0,535.0,518.0,276.0
2022-01-01 06:30:00,0.0,0,534.0,517.0,277.0
2022-01-01 06:45:00,4.0,0,533.0,516.0,277.0
2022-01-01 07:00:00,9.0,0,532.0,515.0,278.0
2022-01-01 07:15:00,15.0,0,531.0,513.0,278.0
2022-01-01 07:30:00,24.0,0,530.0,512.0,278.0
2022-01-01 07:45:00,24.0,0,529.0,507.0,268.0
2022-01-01 08:00:00,43.0,0,528.0,504.0,267.0
2022-01-01 08:15:00,83.0,0,528.0,503.0,267.0
2022-01-01 08:30:00,128.0,0,526.0,501.0,268.0
2022-01-01 08:45:00,164.0,0,526.0,500.0,266.0
2022-01-01 09:00:00,130.0,0,525.0,499.0,267.0
2022-01-01 09:15:00,129.0,0,524.0,497.0,267.0
2022-01-01 09:30:00,151.0,7,523.0,496.0,269.0
2022-01-01 09:45:00,209.0,3,522.0,492.0,265.0
2022-01-01 10:00:00,287.0,0,521.0,490.0,265.0
2022-01-01 10:15:00,632.0,190,520.0,489.0,292.0
2022-01-01 10:30:00,962.0,247,520.0,484.0,345.0
2022-01-01 10:45:00,1116.0,89,519.0,483.0,357.0
2022-01-01 11:00:00,1075.0,287,518.0,497.0,441.0
2022-01-01 11:15:00,1205.0,476,517.0,512.0,520.0
2022-01-01 11:30:00,506.0,57,517.0,524.0,504.0
2022-01-01 11:45:00,301.0,0,517.0,526.0,446.0
2022-01-01 12:00:00,309.0,0,516.0,524.0,281.0
2022-01-01 12:15:00,283.0,0,515.0,523.0,266.0
2022-01-01 12:30:00,312.0,10,514.0,521.0,245.0
2022-01-01 12:45:00,286.0,1,514.0,520.0,241.0
2022-01-01 13:00:00,788.0,120,513.0,519.0,275.0
2022-01-01 13:15:00,892.0,144,513.0,512.0,314.0
2022-01-01 13:30:00,1012.0,542,512.0,507.0,450.0
2022-01-01 13:45:00,800.0,220,511.0,514.0,474.0
2022-01-01 14:00:00,684.0,382,511.0,519.0,543.0
2022-01-01 14:15:00,536.0,286,514.0,523.0,554.0
2022-01-01 14:30:00,299.0,44,516.0,525.0,519.0
2022-01-01 14:45:00,156.0,1,516.0,526.0,493.0
2022-01-01 15:00:00,45.0,0,515.0,525.0,475.0
2022-01-01 15:15:00,20.0,0,515.0,524.0,465.0
2022-01-01 15:30:00,7.0,0,514.0,523.0,458.0
2022-01-01 15:45:00,4.0,0,513.0,523.0,452.0
2022-01-01 16:00:00,0.0,2,513.0,522.0,447.0
2022-01-01 16:15:00,0.0,0,512.0,521.0,443.0
2022-01-01 16:30:00,0.0,0,511.0,521.0,439.0
2022-01-01 16:45:00,0.0,2,511.0,520.0,435.0
2022-01-01 17:00:00,0.0,0,510.0,519.0,431.0
2022-01-01 17:15:00,0.0,0,510.0,518.0,427.0
2022-01-01 17:30:00,0.0,0,509.0,518.0,425.0
2022-01-01 17:45:00,0.0,0,508.0,517.0,422.0
2022-01-01 18:00:00,0.0,0,531.0,516.0,420.0
2022-01-01 18:15:00,0.0,1,579.0,515.0,419.0
2022-01-01 18:30:00,0.0,0,605.0,515.0,417.0
2022-01-01 18:45:00,0.0,0,605.0,515.0,415.0
2022-01-01 19:00:00,0.0,0,604.0,514.0,414.0
2022-01-01 19:15:00,0.0,0,602.0,514.0,412.0
2022-01-01 19:30:00,0.0,0,601.0,513.0,410.0
2022-01-01 19:45:00,0.0,0,600.0,513.0,409.0
2022-01-01 20:00:00,0.0,0,598.0,513.0,408.0
2022-01-01 20:15:00,0.0,0,596.0,512.0,406.0
2022-01-01 20:30:00,0.0,0,595.0,511.0,405.0
