date,month,day,hour,weekday,minute,thermal_consumption_kwh
2022-01-01 00:15:00,1,1,0,5,15,0.0
2022-01-01 00:30:00,1,1,0,5,30,-0.44466666666666677
2022-01-01 00:45:00,1,1,0,5,45,-0.5780666666666666
2022-01-01 01:00:00,1,1,1,5,0,-0.13340000000000002
2022-01-01 01:15:00,1,1,1,5,15,-0.04446666666666667
2022-01-01 01:30:00,1,1,1,5,30,-0.08893333333333334
2022-01-01 01:45:00,1,1,1,5,45,-0.13340000000000002
2022-01-01 02:00:00,1,1,2,5,0,-0.04446666666666667
2022-01-01 02:15:00,1,1,2,5,15,-0.04446666666666667
2022-01-01 02:30:00,1,1,2,5,30,-0.13340000000000002
2022-01-01 02:45:00,1,1,2,5,45,-0.08893333333333334
2022-01-01 03:00:00,1,1,3,5,0,-0.04446666666666667
2022-01-01 03:15:00,1,1,3,5,15,-0.08893333333333334
2022-01-01 03:30:00,1,1,3,5,30,-0.04446666666666667
2022-01-01 03:45:00,1,1,3,5,45,-0.35573333333333335
2022-01-01 04:00:00,1,1,4,5,0,-0.6225333333333334
2022-01-01 04:15:00,1,1,4,5,15,-0.26680000000000004
2022-01-01 04:30:00,1,1,4,5,30,-0.08893333333333334
2022-01-01 04:45:00,1,1,4,5,45,-0.08893333333333334
2022-01-01 05:00:00,1,1,5,5,0,-0.04446666666666667
2022-01-01 05:15:00,1,1,5,5,15,-0.04446666666666667
2022-01-01 05:30:00,1,1,5,5,30,-0.13340000000000002
2022-01-01 05:45:00,1,1,5,5,45,-0.04446666666666667
2022-01-01 06:00:00,1,1,6,5,0,-0.04446666666666667
2022-01-01 06:15:00,1,1,6,5,15,-0.13340000000000002
2022-01-01 06:30:00,1,1,6,5,30,-0.04446666666666667
2022-01-01 06:45:00,1,1,6,5,45,-0.08893333333333334
2022-01-01 07:00:00,1,1,7,5,0,-0.04446666666666667
2022-01-01 07:15:00,1,1,7,5,15,-0.13340000000000002
2022-01-01 07:30:00,1,1,7,5,30,-0.08893333333333334
2022-01-01 07:45:00,1,1,7,5,45,-0.7114666666666667
2022-01-01 08:00:00,1,1,8,5,0,-0.22233333333333338
2022-01-01 08:15:00,1,1,8,5,15,-0.04446666666666667
