date,i_m1sum,power_consumption
2022-01-01 00:15:00,0.0,0.0
2022-01-01 00:30:00,0.0,0.0
2022-01-01 00:45:00,0.0,0.0
2022-01-01 01:00:00,0.0,0.0
2022-01-01 01:15:00,0.0,0.0
2022-01-01 01:30:00,0.0,0.0
2022-01-01 01:45:00,0.0,0.0
2022-01-01 02:00:00,0.0,0.0
2022-01-01 02:15:00,0.0,0.0
2022-01-01 02:30:00,0.0,0.0
2022-01-01 02:45:00,0.0,0.0
2022-01-01 03:00:00,0.0,0.0
2022-01-01 03:15:00,0.0,0.0
2022-01-01 03:30:00,0.0,0.0
2022-01-01 03:45:00,0.0,0.0
2022-01-01 04:00:00,0.0,0.0
2022-01-01 04:15:00,0.0,0.0
2022-01-01 04:30:00,0.0,0.0
2022-01-01 04:45:00,0.0,0.0
2022-01-01 05:00:00,0.0,0.0
2022-01-01 05:15:00,0.0,0.0
2022-01-01 05:30:00,0.0,0.0
2022-01-01 05:45:00,0.0,0.0
2022-01-01 06:00:00,0.0,0.0
2022-01-01 06:15:00,0.0,0.0
2022-01-01 06:30:00,0.0,0.0
2022-01-01 06:45:00,4.0,0.0
2022-01-01 07:00:00,9.0,0.0
2022-01-01 07:15:00,15.0,0.0
2022-01-01 07:30:00,24.0,0.0
2022-01-01 07:45:00,24.0,0.0
2022-01-01 08:00:00,43.0,40.0
2022-01-01 08:15:00,83.0,118.0
2022-01-01 08:30:00,128.0,200.0
2022-01-01 08:45:00,164.0,275.0
2022-01-01 09:00:00,130.0,208.0
2022-01-01 09:15:00,129.0,200.0
2022-01-01 09:30:00,151.0,0.0
2022-01-01 09:45:00,209.0,0.0
2022-01-01 10:00:00,287.0,482.0
2022-01-01 10:15:00,632.0,798.0
2022-01-01 10:30:00,962.0,1341.0
2022-01-01 10:45:00,1116.0,1559.0
2022-01-01 11:00:00,1075.0,1439.0
2022-01-01 11:15:00,1205.0,1350.0
2022-01-01 11:30:00,506.0,809.0
2022-01-01 11:45:00,301.0,534.0
2022-01-01 12:00:00,309.0,49.0
2022-01-01 12:15:00,283.0,126.0
2022-01-01 12:30:00,312.0,346.0
2022-01-01 12:45:00,286.0,503.0
2022-01-01 13:00:00,788.0,1035.0
2022-01-01 13:15:00,892.0,1142.0
2022-01-01 13:30:00,1012.0,705.0
2022-01-01 13:45:00,800.0,664.0
2022-01-01 14:00:00,684.0,333.0
2022-01-01 14:15:00,536.0,241.0
2022-01-01 14:30:00,299.0,250.0
2022-01-01 14:45:00,156.0,0.0
2022-01-01 15:00:00,45.0,0.0
2022-01-01 15:15:00,20.0,0.0
2022-01-01 15:30:00,7.0,0.0
2022-01-01 15:45:00,4.0,0.0
2022-01-01 16:00:00,0.0,0.0
2022-01-01 16:15:00,0.0,0.0
2022-01-01 16:30:00,0.0,0.0
2022-01-01 16:45:00,0.0,0.0
2022-01-01 17:00:00,0.0,0.0
2022-01-01 17:15:00,0.0,0.0
2022-01-01 17:30:00,0.0,0.0
2022-01-01 17:45:00,0.0,0.0
2022-01-01 18:00:00,0.0,0.0
2022-01-01 18:15:00,0.0,0.0
2022-01-01 18:30:00,0.0,0.0
2022-01-01 18:45:00,0.0,0.0
2022-01-01 19:00:00,0.0,0.0
2022-01-01 19:15:00,0.0,0.0
2022-01-01 19:30:00,0.0,0.0
2022-01-01 19:45:00,0.0,0.0
2022-01-01 20:00:00,0.0,0.0
2022-01-01 20:15:00,0.0,0.0
2022-01-01 20:30:00,0.0,0.0
2022-01-01 20:45:00,0.0,0.0
2022-01-01 21:00:00,0.0,0.0
2022-01-01 21:15:00,0.0,0.0
2022-01-01 21:30:00,0.0,0.0
2022-01-01 21:45:00,0.0,0.0
2022-01-01 22:00:00,0.0,0.0
2022-01-01 22:15:00,0.0,0.0
2022-01-01 22:30:00,0.0,0.0
2022-01-01 22:45:00,0.0,0.0
2022-01-01 23:00:00,0.0,0.0
2022-01-01 23:15:00,0.0,0.0
2022-01-01 23:30:00,0.0,0.0
2022-01-01 23:45:00,0.0,12.0
2022-01-02 00:00:00,0.0,25.0
2022-01-02 00:15:00,0.0,18.0
2022-01-02 00:30:00,0.0,18.0
2022-01-02 00:45:00,0.0,16.0
2022-01-02 01:00:00,0.0,14.0
2022-01-02 01:15:00,0.0,23.0
2022-01-02 01:30:00,0.0,30.0
2022-01-02 01:45:00,0.0,16.0
2022-01-02 02:00:00,0.0,16.0
2022-01-02 02:15:00,0.0,59.0
2022-01-02 02:30:00,0.0,53.0
2022-01-02 02:45:00,0.0,18.0
2022-01-02 03:00:00,0.0,12.0
2022-01-02 03:15:00,0.0,19.0
2022-01-02 03:30:00,0.0,3.0
2022-01-02 03:45:00,0.0,13.0
2022-01-02 04:00:00,0.0,20.0
2022-01-02 04:15:00,0.0,21.0
2022-01-02 04:30:00,0.0,30.0
2022-01-02 04:45:00,0.0,48.0
2022-01-02 05:00:00,0.0,35.0
2022-01-02 05:15:00,0.0,46.0
2022-01-02 05:30:00,0.0,37.0
2022-01-02 05:45:00,0.0,36.0
2022-01-02 06:00:00,0.0,42.0
2022-01-02 06:15:00,0.0,52.0
2022-01-02 06:30:00,0.0,43.0
2022-01-02 06:45:00,0.0,41.0
2022-01-02 07:00:00,0.0,35.0
2022-01-02 07:15:00,4.0,70.0
2022-01-02 07:30:00,45.0,74.0
2022-01-02 07:45:00,79.0,91.0
2022-01-02 08:00:00,114.0,169.0
2022-01-02 08:15:00,157.0,261.0
2022-01-02 08:30:00,197.0,315.0
2022-01-02 08:45:00,274.0,489.0
2022-01-02 09:00:00,493.0,926.0
2022-01-02 09:15:00,405.0,736.0
2022-01-02 09:30:00,328.0,592.0
2022-01-02 09:45:00,301.0,489.0
2022-01-02 10:00:00,367.0,146.0
2022-01-02 10:15:00,370.0,599.0
2022-01-02 10:30:00,814.0,1121.0
2022-01-02 10:45:00,917.0,923.0
2022-01-02 11:00:00,1111.0,225.0
2022-01-02 11:15:00,717.0,1065.0
2022-01-02 11:30:00,828.0,1407.0
2022-01-02 11:45:00,685.0,1128.0
2022-01-02 12:00:00,1002.0,197.0
2022-01-02 12:15:00,1042.0,126.0
2022-01-02 12:30:00,572.0,300.0
2022-01-02 12:45:00,610.0,120.0
2022-01-02 13:00:00,425.0,82.0
2022-01-02 13:15:00,403.0,92.0
2022-01-02 13:30:00,224.0,37.0
2022-01-02 13:45:00,208.0,117.0
2022-01-02 14:00:00,172.0,53.0
2022-01-02 14:15:00,122.0,95.0
2022-01-02 14:30:00,89.0,44.0
2022-01-02 14:45:00,47.0,42.0
2022-01-02 15:00:00,36.0,19.0
2022-01-02 15:15:00,19.0,0.0
2022-01-02 15:30:00,7.0,0.0
2022-01-02 15:45:00,3.0,0.0
2022-01-02 16:00:00,0.0,0.0
2022-01-02 16:15:00,0.0,0.0
2022-01-02 16:30:00,0.0,0.0
2022-01-02 16:45:00,0.0,0.0
2022-01-02 17:00:00,0.0,0.0
2022-01-02 17:15:00,0.0,0.0
2022-01-02 17:30:00,0.0,0.0
2022-01-02 17:45:00,0.0,0.0
2022-01-02 18:00:00,0.0,0.0
2022-01-02 18:15:00,0.0,0.0
2022-01-02 18:30:00,0.0,0.0
2022-01-02 18:45:00,0.0,0.0
2022-01-02 19:00:00,0.0,0.0
2022-01-02 19:15:00,0.0,0.0
2022-01-02 19:30:00,0.0,0.0
2022-01-02 19:45:00,0.0,0.0
2022-01-02 20:00:00,0.0,0.0
2022-01-02 20:15:00,0.0,0.0
2022-01-02 20:30:00,0.0,0.0
2022-01-02 20:45:00,0.0,0.0
2022-01-02 21:00:00,0.0,0.0
2022-01-02 21:15:00,0.0,0.0
2022-01-02 21:30:00,0.0,0.0
2022-01-02 21:45:00,0.0,0.0
2022-01-02 22:00:00,0.0,0.0
2022-01-02 22:15:00,0.0,0.0
2022-01-02 22:30:00,0.0,0.0
2022-01-02 22:45:00,0.0,0.0
2022-01-02 23:00:00,0.0,0.0
2022-01-02 23:15:00,0.0,0.0
2022-01-02 23:30:00,0.0,0.0
2022-01-02 23:45:00,0.0,0.0
2022-01-03 00:00:00,0.0,0.0
2022-01-03 00:15:00,0.0,0.0
2022-01-03 00:30:00,0.0,0.0
2022-01-03 00:45:00,0.0,0.0
2022-01-03 01:00:00,0.0,0.0
2022-01-03 01:15:00,0.0,0.0
2022-01-03 01:30:00,0.0,0.0
2022-01-03 01:45:00,0.0,0.0
2022-01-03 02:00:00,0.0,0.0
2022-01-03 02:15:00,0.0,0.0
2022-01-03 02:30:00,0.0,0.0
2022-01-03 02:45:00,0.0,0.0
2022-01-03 03:00:00,0.0,0.0
2022-01-03 03:15:00,0.0,0.0
2022-01-03 03:30:00,0.0,0.0
2022-01-03 03:45:00,0.0,0.0
2022-01-03 04:00:00,0.0,0.0
2022-01-03 04:15:00,0.0,0.0
2022-01-03 04:30:00,0.0,0.0
2022-01-03 04:45:00,0.0,0.0
2022-01-03 05:00:00,0.0,44.0
2022-01-03 05:15:00,0.0,45.0
2022-01-03 05:30:00,0.0,42.0
2022-01-03 05:45:00,0.0,40.0
2022-01-03 06:00:00,0.0,37.0
2022-01-03 06:15:00,0.0,34.0
2022-01-03 06:30:00,0.0,38.0
2022-01-03 06:45:00,0.0,45.0
2022-01-03 07:00:00,0.0,34.0
