month,day,hour,weekday,minute,i_m1sum,power_consumption
1,1,0,5,0,0.0,0.0
1,1,0,5,15,0.0,0.0
1,1,0,5,30,0.0,0.0
1,1,0,5,45,0.0,0.0
1,1,1,5,0,0.0,0.0
1,1,1,5,15,0.0,0.0
1,1,1,5,30,0.0,0.0
1,1,1,5,45,0.0,0.0
1,1,2,5,0,0.0,0.0
1,1,2,5,15,0.0,0.0
1,1,2,5,30,0.0,0.0
1,1,2,5,45,0.0,0.0
1,1,3,5,0,0.0,0.0
1,1,3,5,15,0.0,0.0
1,1,3,5,30,0.0,0.0
1,1,3,5,45,0.0,0.0
1,1,4,5,0,0.0,0.0
1,1,4,5,15,0.0,0.0
1,1,4,5,30,0.0,0.0
1,1,4,5,45,0.0,0.0
1,1,5,5,0,0.0,0.0
1,1,5,5,15,0.0,0.0
1,1,5,5,30,0.0,0.0
1,1,5,5,45,0.0,0.0
1,1,6,5,0,0.0,0.0
1,1,6,5,15,0.0,0.0
1,1,6,5,30,0.0,0.0
1,1,6,5,45,4.0,0.0
1,1,7,5,0,9.0,0.0
1,1,7,5,15,15.0,0.0
1,1,7,5,30,24.0,0.0
1,1,7,5,45,24.0,0.0
1,1,8,5,0,43.0,40.0
1,1,8,5,15,83.0,118.0
1,1,8,5,30,128.0,200.0
1,1,8,5,45,164.0,275.0
1,1,9,5,0,130.0,208.0
1,1,9,5,15,129.0,200.0
1,1,9,5,30,151.0,0.0
1,1,9,5,45,209.0,0.0
1,1,10,5,0,287.0,482.0
1,1,10,5,15,632.0,798.0
1,1,10,5,30,962.0,1341.0
1,1,10,5,45,1116.0,1559.0
1,1,11,5,0,1075.0,1439.0
1,1,11,5,15,1205.0,1350.0
1,1,11,5,30,506.0,809.0
1,1,11,5,45,301.0,534.0
1,1,12,5,0,309.0,49.0
1,1,12,5,15,283.0,126.0
1,1,12,5,30,312.0,346.0
1,1,12,5,45,286.0,503.0
1,1,13,5,0,788.0,1035.0
1,1,13,5,15,892.0,1142.0
1,1,13,5,30,1012.0,705.0
1,1,13,5,45,800.0,664.0
1,1,14,5,0,684.0,333.0
1,1,14,5,15,536.0,241.0
1,1,14,5,30,299.0,250.0
1,1,14,5,45,156.0,0.0
1,1,15,5,0,45.0,0.0
1,1,15,5,15,20.0,0.0
1,1,15,5,30,7.0,0.0
1,1,15,5,45,4.0,0.0
1,1,16,5,0,0.0,0.0
1,1,16,5,15,0.0,0.0
1,1,16,5,30,0.0,0.0
1,1,16,5,45,0.0,0.0
1,1,17,5,0,0.0,0.0
1,1,17,5,15,0.0,0.0
1,1,17,5,30,0.0,0.0
1,1,17,5,45,0.0,0.0
1,1,18,5,0,0.0,0.0
1,1,18,5,15,0.0,0.0
1,1,18,5,30,0.0,0.0
1,1,18,5,45,0.0,0.0
1,1,19,5,0,0.0,0.0
1,1,19,5,15,0.0,0.0
1,1,19,5,30,0.0,0.0
1,1,19,5,45,0.0,0.0
1,1,20,5,0,0.0,0.0
1,1,20,5,15,0.0,0.0
1,1,20,5,30,0.0,0.0
1,1,20,5,45,0.0,0.0
1,1,21,5,0,0.0,0.0
1,1,21,5,15,0.0,0.0
1,1,21,5,30,0.0,0.0
1,1,21,5,45,0.0,0.0
1,1,22,5,0,0.0,0.0
1,1,22,5,15,0.0,0.0
1,1,22,5,30,0.0,0.0
1,1,22,5,45,0.0,0.0
1,1,23,5,0,0.0,0.0
1,1,23,5,15,0.0,0.0
1,1,23,5,30,0.0,0.0
1,1,23,5,45,0.0,12.0
1,2,0,6,0,0.0,25.0
1,2,0,6,15,0.0,18.0
1,2,0,6,30,0.0,18.0
1,2,0,6,45,0.0,16.0
1,2,1,6,0,0.0,14.0
1,2,1,6,15,0.0,23.0
1,2,1,6,30,0.0,30.0
1,2,1,6,45,0.0,16.0
1,2,2,6,0,0.0,16.0
1,2,2,6,15,0.0,59.0
1,2,2,6,30,0.0,53.0
1,2,2,6,45,0.0,18.0
1,2,3,6,0,0.0,12.0
1,2,3,6,15,0.0,19.0
1,2,3,6,30,0.0,3.0
1,2,3,6,45,0.0,13.0
1,2,4,6,0,0.0,20.0
1,2,4,6,15,0.0,21.0
1,2,4,6,30,0.0,30.0
1,2,4,6,45,0.0,48.0
1,2,5,6,0,0.0,35.0
1,2,5,6,15,0.0,46.0
1,2,5,6,30,0.0,37.0
1,2,5,6,45,0.0,36.0
1,2,6,6,0,0.0,42.0
1,2,6,6,15,0.0,52.0
1,2,6,6,30,0.0,43.0
1,2,6,6,45,0.0,41.0
1,2,7,6,0,0.0,35.0
1,2,7,6,15,4.0,70.0
1,2,7,6,30,45.0,74.0
1,2,7,6,45,79.0,91.0
1,2,8,6,0,114.0,169.0
1,2,8,6,15,157.0,261.0
1,2,8,6,30,197.0,315.0
1,2,8,6,45,274.0,489.0
1,2,9,6,0,493.0,926.0
1,2,9,6,15,405.0,736.0
1,2,9,6,30,328.0,592.0
1,2,9,6,45,301.0,489.0
1,2,10,6,0,367.0,146.0
1,2,10,6,15,370.0,599.0
1,2,10,6,30,814.0,1121.0
1,2,10,6,45,917.0,923.0
1,2,11,6,0,1111.0,225.0
1,2,11,6,15,717.0,1065.0
1,2,11,6,30,828.0,1407.0
1,2,11,6,45,685.0,1128.0
1,2,12,6,0,1002.0,197.0
1,2,12,6,15,1042.0,126.0
1,2,12,6,30,572.0,300.0
1,2,12,6,45,610.0,120.0
1,2,13,6,0,425.0,82.0
1,2,13,6,15,403.0,92.0
1,2,13,6,30,224.0,37.0
1,2,13,6,45,208.0,117.0
1,2,14,6,0,172.0,53.0
1,2,14,6,15,122.0,95.0
1,2,14,6,30,89.0,44.0
1,2,14,6,45,47.0,42.0
1,2,15,6,0,36.0,19.0
1,2,15,6,15,19.0,0.0
1,2,15,6,30,7.0,0.0
1,2,15,6,45,3.0,0.0
1,2,16,6,0,0.0,0.0
1,2,16,6,15,0.0,0.0
1,2,16,6,30,0.0,0.0
1,2,16,6,45,0.0,0.0
1,2,17,6,0,0.0,0.0
1,2,17,6,15,0.0,0.0
1,2,17,6,30,0.0,0.0
1,2,17,6,45,0.0,0.0
1,2,18,6,0,0.0,0.0
1,2,18,6,15,0.0,0.0
1,2,18,6,30,0.0,0.0
1,2,18,6,45,0.0,0.0
1,2,19,6,0,0.0,0.0
1,2,19,6,15,0.0,0.0
1,2,19,6,30,0.0,0.0
1,2,19,6,45,0.0,0.0
1,2,20,6,0,0.0,0.0
1,2,20,6,15,0.0,0.0
1,2,20,6,30,0.0,0.0
1,2,20,6,45,0.0,0.0
1,2,21,6,0,0.0,0.0
1,2,21,6,15,0.0,0.0
1,2,21,6,30,0.0,0.0
1,2,21,6,45,0.0,0.0
1,2,22,6,0,0.0,0.0
1,2,22,6,15,0.0,0.0
1,2,22,6,30,0.0,0.0
1,2,22,6,45,0.0,0.0
1,2,23,6,0,0.0,0.0
1,2,23,6,15,0.0,0.0
1,2,23,6,30,0.0,0.0
1,2,23,6,45,0.0,0.0
1,3,0,0,0,0.0,0.0
1,3,0,0,15,0.0,0.0
1,3,0,0,30,0.0,0.0
1,3,0,0,45,0.0,0.0
1,3,1,0,0,0.0,0.0
1,3,1,0,15,0.0,0.0
1,3,1,0,30,0.0,0.0
1,3,1,0,45,0.0,0.0
1,3,2,0,0,0.0,0.0
1,3,2,0,15,0.0,0.0
1,3,2,0,30,0.0,0.0
1,3,2,0,45,0.0,0.0
1,3,3,0,0,0.0,0.0
1,3,3,0,15,0.0,0.0
1,3,3,0,30,0.0,0.0
1,3,3,0,45,0.0,0.0
1,3,4,0,0,0.0,0.0
1,3,4,0,15,0.0,0.0
1,3,4,0,30,0.0,0.0
1,3,4,0,45,0.0,0.0
1,3,5,0,0,0.0,44.0
1,3,5,0,15,0.0,45.0
1,3,5,0,30,0.0,42.0
1,3,5,0,45,0.0,40.0
1,3,6,0,0,0.0,37.0
