month,day,hour,weekday,minute,i_m1sum,power_consumption
1,1,0,5,0,-0.6548843795548156,0.0
1,1,0,5,15,-0.6548843795548156,0.0
1,1,0,5,30,-0.6548843795548156,0.0
1,1,0,5,45,-0.6548843795548156,0.0
1,1,1,5,0,-0.6548843795548156,0.0
1,1,1,5,15,-0.6548843795548156,0.0
1,1,1,5,30,-0.6548843795548156,0.0
1,1,1,5,45,-0.6548843795548156,0.0
1,1,2,5,0,-0.6548843795548156,0.0
1,1,2,5,15,-0.6548843795548156,0.0
1,1,2,5,30,-0.6548843795548156,0.0
1,1,2,5,45,-0.6548843795548156,0.0
1,1,3,5,0,-0.6548843795548156,0.0
1,1,3,5,15,-0.6548843795548156,0.0
1,1,3,5,30,-0.6548843795548156,0.0
1,1,3,5,45,-0.6548843795548156,0.0
1,1,4,5,0,-0.6548843795548156,0.0
1,1,4,5,15,-0.6548843795548156,0.0
1,1,4,5,30,-0.6548843795548156,0.0
1,1,4,5,45,-0.6548843795548156,0.0
1,1,5,5,0,-0.6548843795548156,0.0
1,1,5,5,15,-0.6548843795548156,0.0
1,1,5,5,30,-0.6548843795548156,0.0
1,1,5,5,45,-0.6548843795548156,0.0
1,1,6,5,0,-0.6548843795548156,0.0
1,1,6,5,15,-0.6548843795548156,0.0
1,1,6,5,30,-0.6548843795548156,0.0
1,1,6,5,45,-0.6482798117048534,0.0
1,1,7,5,0,-0.6400241018924004,0.0
1,1,7,5,15,-0.630117250117457,0.0
1,1,7,5,30,-0.6152569724550419,0.0
1,1,7,5,45,-0.6152569724550419,0.0
1,1,8,5,0,-0.5838852751677209,40.0
1,1,8,5,15,-0.517839596668098,118.0
1,1,8,5,30,-0.4435382083560222,200.0
1,1,8,5,45,-0.3840970977063615,275.0
1,1,9,5,0,-0.44023592443104104,208.0
1,1,9,5,15,-0.4418870663935316,200.0
1,1,9,5,30,-0.40556194321873895,0.0
1,1,9,5,45,-0.3097957093942857,0.0
1,1,10,5,0,-0.18100663632002092,482.0
1,1,10,5,15,0.38863734073922707,798.0
1,1,10,5,30,0.9335141883611165,1341.0
1,1,10,5,45,1.1877900505846648,1559.0
1,1,11,5,0,1.1200932301225512,1439.0
1,1,11,5,15,1.3347416852463259,1350.0
1,1,11,5,30,0.18059345346541475,809.0
1,1,11,5,45,-0.1578906488451529,534.0
1,1,12,5,0,-0.1446815131452283,49.0
1,1,12,5,15,-0.18761120416998323,126.0
1,1,12,5,30,-0.1397280872577566,346.0
1,1,12,5,45,-0.1826577782825115,503.0
1,1,13,5,0,0.6462154868877565,1035.0
1,1,13,5,15,0.8179342509867762,1142.0
1,1,13,5,30,1.0160712864856452,705.0
1,1,13,5,45,0.6660291904376434,664.0
1,1,14,5,0,0.4744967227887369,333.0
1,1,14,5,15,0.23012771234013196,241.0
1,1,14,5,30,-0.16119293277013405,250.0
1,1,14,5,45,-0.3973062334062861,0.0
1,1,15,5,0,-0.5805829912427398,0.0
1,1,15,5,15,-0.6218615403050042,0.0
1,1,15,5,30,-0.6433263858173817,0.0
1,1,15,5,45,-0.6482798117048534,0.0
1,1,16,5,0,-0.6548843795548156,0.0
1,1,16,5,15,-0.6548843795548156,0.0
1,1,16,5,30,-0.6548843795548156,0.0
1,1,16,5,45,-0.6548843795548156,0.0
1,1,17,5,0,-0.6548843795548156,0.0
1,1,17,5,15,-0.6548843795548156,0.0
1,1,17,5,30,-0.6548843795548156,0.0
1,1,17,5,45,-0.6548843795548156,0.0
1,1,18,5,0,-0.6548843795548156,0.0
1,1,18,5,15,-0.6548843795548156,0.0
1,1,18,5,30,-0.6548843795548156,0.0
1,1,18,5,45,-0.6548843795548156,0.0
1,1,19,5,0,-0.6548843795548156,0.0
1,1,19,5,15,-0.6548843795548156,0.0
1,1,19,5,30,-0.6548843795548156,0.0
1,1,19,5,45,-0.6548843795548156,0.0
1,1,20,5,0,-0.6548843795548156,0.0
1,1,20,5,15,-0.6548843795548156,0.0
1,1,20,5,30,-0.6548843795548156,0.0
1,1,20,5,45,-0.6548843795548156,0.0
1,1,21,5,0,-0.6548843795548156,0.0
1,1,21,5,15,-0.6548843795548156,0.0
1,1,21,5,30,-0.6548843795548156,0.0
1,1,21,5,45,-0.6548843795548156,0.0
1,1,22,5,0,-0.6548843795548156,0.0
1,1,22,5,15,-0.6548843795548156,0.0
1,1,22,5,30,-0.6548843795548156,0.0
1,1,22,5,45,-0.6548843795548156,0.0
1,1,23,5,0,-0.6548843795548156,0.0
1,1,23,5,15,-0.6548843795548156,0.0
1,1,23,5,30,-0.6548843795548156,0.0
1,1,23,5,45,-0.6548843795548156,12.0
1,2,0,6,0,-0.6548843795548156,25.0
1,2,0,6,15,-0.6548843795548156,18.0
1,2,0,6,30,-0.6548843795548156,18.0
1,2,0,6,45,-0.6548843795548156,16.0
1,2,1,6,0,-0.6548843795548156,14.0
1,2,1,6,15,-0.6548843795548156,23.0
1,2,1,6,30,-0.6548843795548156,30.0
1,2,1,6,45,-0.6548843795548156,16.0
1,2,2,6,0,-0.6548843795548156,16.0
1,2,2,6,15,-0.6548843795548156,59.0
1,2,2,6,30,-0.6548843795548156,53.0
1,2,2,6,45,-0.6548843795548156,18.0
1,2,3,6,0,-0.6548843795548156,12.0
